Description	Resource	Path	Location	Type
Type d3fend.owl:WriteMemory is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9764 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:WriteFile is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9759 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:WindowsRegistry is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13707 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:WebServer is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14689 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:WebServerApplication is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13179 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Volume is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12630 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:VirtualizationSoftware is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15519 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:VideoInputDevice is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13794 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserLogonInitResource is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15065 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserInitScript is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12917 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserInitScript is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12923 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserInitConfigurationFile is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14892 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserInitConfigurationFile is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15490 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserAccount is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13572 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:UserAccount is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14767 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:URL is not the same as or a sub type of the range of d3fend.owl:accesses	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14268 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:TraceThread is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9754 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:TraceProcess is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9749 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Thread is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 11803 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:Thread is not the same as or a sub type of the range of d3fend.owl:executes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 16323 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:TerminateProcess is not the same as or a sub type of the range of d3fend.owl:invokes	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 9744 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemStartupDirectory is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12943 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemServiceSoftware is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15028 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemInitScript is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 12937 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemFirmware is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14807 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemFirmware is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14827 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemFirewallConfiguration is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15429 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationInitDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15752 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:reads	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 7318 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 11797 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 13925 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14872 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14879 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14913 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14930 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14938 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14991 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14997 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15003 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15009 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15041 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15197 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15269 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabaseRecord is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 15759 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14302 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14856 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
Type d3fend.owl:SystemConfigurationDatabase is not the same as or a sub type of the range of d3fend.owl:modifies	d3fend.owl.oml	/sandbox/d3fend/oml/d3fend.mitre.org/ontologies	line: 14951 /sandbox/d3fend/oml/d3fend.mitre.org/ontologies/d3fend.owl.oml	Oml Problem
